Member_number,Date,itemDescription,Locations
2049,7/10/2015,Dove Clinical Protection Deodorant Product,Hollister
3122,2/5/2015,Dunkin Donuts $1/2 creamers,Pleasanton
2245,15-05-2015,Bausch+Lomb $1/1,San Jose
4746,18-10-2015,Beefsteak 18 oz. breadÿ,Livermore
4224,24-02-2015,Best Foods $1/1 mayonnaise squeeze,
4219,19-03-2015,Axe Hair Care Product,Pleasanton
2641,1/1/2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor,San Francisco
3173,25-07-2015,Blue Diamond $1/1 4oz+ almonds can or bag,San Jose
2191,19-10-2015,Bounty/Charmin $.50/1ÿ,Pleasanton
4212,7/4/2015,Coppertone lotion $3/1,Pleasanton
1902,1/12/2015,Blue Diamond $1/1 4oz+ almonds can or bag,Pleasanton
1347,27-03-2015,Barabsol $.50/1 10oz shaving cream,Palo Alto
1578,23-06-2015,Axe Hair Care Product,Pleasanton
1264,23-11-2015,Barilla $1/2 Sauce,San Jose
4632,30-09-2015,Best Foods $1/1 mayonnaise squeeze,Fremont
3452,1/11/2015,Irish Spring $1.00/1 bar soap multipack 6ct or largerÿ,Pacific Grove
4822,10/2/2015,Coppertone lotion $3/1,Sausalito
3987,18-06-2015,Dunkin Donuts $1/2 creamers,
1672,7/10/2015,Farm Rich Bakery item 9.5 oz,Klamath Falls
4864,1/12/2015,Coppertone lotion $3/1,ANTIOCH
3368,9/3/2015,Blue Diamond $1/1 4oz+ almonds can or bag,Santa Clara
1283,22-09-2015,Barabsol $.50/1 10oz shaving cream,San Francisco
4428,28-06-2015,Axe Hair Care Product,Palo Alto
2577,25-10-2015,Barilla $1/2 Sauce,
1973,24-10-2015,Best Foods $1/1 mayonnaise squeeze,San Jose
3284,23-01-2015,Best Foods $1/1 mayonnaise squeeze,Saratoga
1905,19-05-2015,Dinty Moore $1/2ÿ,San Jose
2226,9/3/2015,Megared $1/1 product,Livermore
1932,4/9/2015,Dinty Moore $1/2ÿ,San Rafael
4506,11/8/2015,Dove Clinical Protection Deodorant Product,Mountain View
1843,27-11-2015,Dunkin Donuts $1/2 creamers,San Mateo
3973,27-07-2015,Farm Rich Bakery item 9.5 oz,El Cerrito
1651,28-07-2015,Fiber One $.50/2 chewy bars,Newark
3997,12/10/2015,Indiana Kitchen Baconÿ,San Pablo
4796,25-08-2015,Irish Spring $1.00/1 bar soap multipack 6ct or largerÿ,Concord
1245,24-09-2015,L'Oreal $2/1 skincare product ets,
3579,17-08-2015,Megared $1/1 product,
4387,10/2/2015,"Maybelline New York $2/1 brow, shadow or liner productÿ",San Francisco
2496,29-06-2015,Mitchum antiperspirant/deodorant prod,San Carlos
3590,28-03-2015,L'Oreal $2/1 skincare product ets,
2890,26-04-2015,Farm Rich Bakery item 9.5 oz,San Jose
1401,27-01-2015,Irish Spring $1.00/1 bar soap multipack 6ct or largerÿ,Mountain View
3297,21-05-2015,Coppertone lotion $3/1,Oceanside
2867,23-12-2015,Dunkin Donuts $1/2 creamers,San Jose
1365,20-05-2015,Farm Rich Bakery item 9.5 oz,Salinas
2355,24-07-2015,Coppertone lotion $3/1,Vacaville
1170,19-03-2015,Blue Diamond $1/1 4oz+ almonds can or bag,Oakland
3554,21-03-2015,Barabsol $.50/1 10oz shaving cream,San Jose
4171,26-01-2015,Axe Hair Care Product,San Leandro
3963,17-09-2015,Barilla $1/2 Sauce,Hollister
3076,8/12/2015,Best Foods $1/1 mayonnaise squeeze,San Francisco
1629,17-05-2015,Best Foods $1/1 mayonnaise squeeze,Santa Clara
1366,30-05-2015,Dinty Moore $1/2ÿ,
3677,29-07-2015,Megared $1/1 product,San Francisco
2844,21-05-2015,Aveeno $1/1 produc,San Mateo
4509,28-09-2015,Axe Body Spray Product,Sunnyvale
3245,11/5/2015,Axe Hair Care Product,
2294,22-06-2015,Ban $1/1 roll-on antiperspirant deodorantÿ,Santa Clara
1234,20-11-2015,Barabsol $.50/1 10oz shaving cream,San Jose
3001,24-12-2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor,Los Gatos
3587,5/8/2015,Barilla $1/2 Sauce,
2700,22-01-2015,Bausch+Lomb $1/1,Santa Clara
3838,14-12-2015,Beefsteak 18 oz. breadÿ,
4045,22-12-2015,Best Foods $1/1 mayonnaise squeeze,Palo Alto
1858,25-04-2015,Axe Hair Care Product,Sunnyvale
2280,11/1/2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor,Oakland
2454,6/4/2015,Blue Diamond $1/1 4oz+ almonds can or bag,Calistoga
4437,9/10/2015,Bounty/Charmin $.50/1ÿ,San Francisco
1685,30-03-2015,Coppertone lotion $3/1,
2349,26-02-2015,Blue Diamond $1/1 4oz+ almonds can or bag,Pleasanton
1463,24-12-2015,Barabsol $.50/1 10oz shaving cream,Redwood City
3470,19-02-2015,Axe Hair Care Product,San Jose
4914,29-11-2015,Barabsol $.50/1 10oz shaving cream,Milpitas
2448,31-08-2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor,Santa Clara
3387,10/5/2015,Barilla $1/2 Sauce,Sunnyvale
3167,4/11/2015,Bausch+Lomb $1/1,
3175,17-03-2015,Beefsteak 18 oz. breadÿ,
2678,21-09-2015,Best Foods $1/1 mayonnaise squeeze,
4627,18-12-2015,Axe Hair Care Product,Saratoga
1773,17-10-2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor,
3100,23-05-2015,Blue Diamond $1/1 4oz+ almonds can or bag,San Carlos
3232,29-05-2015,Bounty/Charmin $.50/1ÿ,
3673,12/8/2015,Coppertone lotion $3/1,Redwood City
4068,19-11-2015,Blue Diamond $1/1 4oz+ almonds can or bag,San Francisco
2340,7/10/2015,Barabsol $.50/1 10oz shaving cream,Sunnyvale
1930,1/3/2015,Axe Hair Care Product,San Pablo
3526,2/6/2015,Barilla $1/2 Sauce,
1617,10/2/2015,Best Foods $1/1 mayonnaise squeeze,Pebble Beach
1028,11/7/2015,Best Foods $1/1 mayonnaise squeeze,
4440,1/12/2015,Dinty Moore $1/2ÿ,San Jose
3554,23-07-2015,Megared $1/1 product,San Jose
1632,15-12-2015,Aveeno $1/1 produc,Santa Clara
1429,7/2/2015,Axe Body Spray Product,San Jose
1225,20-05-2015,Axe Hair Care Product,
2509,15-07-2015,Coppertone lotion $3/1,Campbell
4945,2/8/2015,Dunkin Donuts $1/2 creamers,Lotus
4342,18-03-2015,Farm Rich Bakery item 9.5 oz,Santa Clara
1832,28-09-2015,Coppertone lotion $3/1,San Leandro
1518,21-06-2015,Blue Diamond $1/1 4oz+ almonds can or bag,Tracy
1512,20-09-2015,Farm Rich Bakery item 9.5 oz,Milpitas
4818,20-03-2015,Coppertone lotion $3/1,Woodland
4686,19-08-2015,Blue Diamond $1/1 4oz+ almonds can or bag,Pleasanton
4986,1/2/2015,Barabsol $.50/1 10oz shaving cream,
2755,6/2/2015,Axe Hair Care Product,San Jose
4532,29-11-2015,Barilla $1/2 Sauce,San Jose
2070,16-08-2015,Best Foods $1/1 mayonnaise squeeze,San Jose
1894,9/5/2015,Best Foods $1/1 mayonnaise squeeze,
3473,25-01-2015,Dinty Moore $1/2ÿ,San Mateo
2140,28-09-2015,Megared $1/1 product,Pleasanton
3286,23-12-2015,Dinty Moore $1/2ÿ,San Jose
4729,8/4/2015,Dove Clinical Protection Deodorant Product,San Jose
3204,20-02-2015,Dunkin Donuts $1/2 creamers,San Jose
1574,18-04-2015,Farm Rich Bakery item 9.5 oz,Palo Alto
3361,22-07-2015,Fiber One $.50/2 chewy bars,Santa Clara
1776,25-02-2015,Indiana Kitchen Baconÿ,Mountain View
2009,11/10/2015,Irish Spring $1.00/1 bar soap multipack 6ct or largerÿ,Las Vegas
3479,24-03-2015,L'Oreal $2/1 skincare product ets,San Francisco
2394,22-11-2015,Megared $1/1 product,Klamath Falls
1337,25-12-2015,"Maybelline New York $2/1 brow, shadow or liner productÿ",
3574,13-06-2015,Mitchum antiperspirant/deodorant prod,Morgan Hill
1727,18-07-2015,L'Oreal $2/1 skincare product ets,San Jose
1016,5/10/2015,Farm Rich Bakery item 9.5 oz,
4326,21-01-2015,Irish Spring $1.00/1 bar soap multipack 6ct or largerÿ,
2212,22-09-2015,Coppertone lotion $3/1,Woodland
1990,1/8/2015,Dunkin Donuts $1/2 creamers,
3836,6/12/2015,Farm Rich Bakery item 9.5 oz,
4560,1/7/2015,Coppertone lotion $3/1,Palo Alto
1119,4/2/2015,Dunkin Donuts $1/2 creamers,San Jose
1379,18-05-2015,Farm Rich Bakery item 9.5 oz,San Carlos
1658,3/9/2015,Coppertone lotion $3/1,Milpitas
2948,16-06-2015,Blue Diamond $1/1 4oz+ almonds can or bag,Campbell
1273,4/5/2015,Barabsol $.50/1 10oz shaving cream,
1155,27-12-2015,Axe Hair Care Product,San Jose
1672,5/2/2015,Barilla $1/2 Sauce,San Pablo
3841,2/4/2015,Best Foods $1/1 mayonnaise squeeze,San Jose
1683,20-08-2015,Best Foods $1/1 mayonnaise squeeze,Los Gatos
1774,7/8/2015,Dinty Moore $1/2ÿ,
4441,17-06-2015,Megared $1/1 product,San Jose
1929,2/5/2015,Dinty Moore $1/2ÿ,San Carlos
1273,31-01-2015,Dove Clinical Protection Deodorant Product,
2920,11/10/2015,Dunkin Donuts $1/2 creamers,San Jose
2467,18-04-2015,Farm Rich Bakery item 9.5 oz,San Jose
2678,28-11-2015,Fiber One $.50/2 chewy bars,Mountain View
3423,2/6/2015,Indiana Kitchen Baconÿ,San Jose
4223,19-07-2015,Irish Spring $1.00/1 bar soap multipack 6ct or largerÿ,
2846,23-09-2015,Barabsol $.50/1 10oz shaving cream,San Jose
4103,26-07-2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor,San Francisco
4789,2/5/2015,Barilla $1/2 Sauce,San Jose
4916,26-02-2015,Bausch+Lomb $1/1,Santa Clara
2518,3/5/2015,Beefsteak 18 oz. breadÿ,San Francisco
2622,7/3/2015,Best Foods $1/1 mayonnaise squeeze,Hollister
4321,29-01-2015,Axe Hair Care Product,Pleasanton
2050,28-06-2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor,San Jose
2146,20-06-2015,Blue Diamond $1/1 4oz+ almonds can or bag,Livermore
3938,26-05-2015,Bounty/Charmin $.50/1ÿ,
1636,19-09-2015,Coppertone lotion $3/1,Pleasanton
4694,29-07-2015,Blue Diamond $1/1 4oz+ almonds can or bag,San Francisco
2432,7/7/2015,Barabsol $.50/1 10oz shaving cream,San Jose
4937,18-05-2015,Axe Hair Care Product,Pleasanton
1293,1/3/2015,Barilla $1/2 Sauce,Pleasanton
2883,17-02-2015,Best Foods $1/1 mayonnaise squeeze,Pleasanton
2267,30-01-2015,Best Foods $1/1 mayonnaise squeeze,Palo Alto
3997,9/6/2015,Dinty Moore $1/2ÿ,Pleasanton
4792,20-07-2015,Megared $1/1 product,San Jose
2292,25-03-2015,Aveeno $1/1 produc,Fremont
1018,23-05-2015,Axe Body Spray Product,Pacific Grove
4922,13-02-2015,Axe Hair Care Product,Sausalito
3151,25-09-2015,Best Foods $1/1 mayonnaise squeeze,
2517,4/7/2015,Best Foods $1/1 mayonnaise squeeze,Klamath Falls
1499,17-05-2015,Dinty Moore $1/2ÿ,ANTIOCH
4993,21-01-2015,Megared $1/1 product,Santa Clara
1606,11/11/2015,Dinty Moore $1/2ÿ,San Francisco
2918,10/8/2015,Dove Clinical Protection Deodorant Product,Palo Alto
1815,13-01-2015,Dunkin Donuts $1/2 creamers,
4524,5/7/2015,Bausch+Lomb $1/1,San Jose
1395,11/6/2015,Beefsteak 18 oz. breadÿ,Saratoga
3456,16-06-2015,Best Foods $1/1 mayonnaise squeeze,San Jose
1597,5/2/2015,Axe Hair Care Product,Livermore
2315,2/5/2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor,San Rafael
4095,29-09-2015,Blue Diamond $1/1 4oz+ almonds can or bag,Mountain View
3680,24-11-2015,Bounty/Charmin $.50/1ÿ,San Mateo
2847,23-11-2015,Coppertone lotion $3/1,El Cerrito
3426,25-10-2015,Blue Diamond $1/1 4oz+ almonds can or bag,Newark
4750,4/8/2015,Barabsol $.50/1 10oz shaving cream,San Pablo
1384,9/8/2015,Axe Hair Care Product,Concord
3120,9/8/2015,Barilla $1/2 Sauce,
1081,25-04-2015,Best Foods $1/1 mayonnaise squeeze,
1171,5/5/2015,Irish Spring $1.00/1 bar soap multipack 6ct or largerÿ,San Francisco
4932,8/7/2015,Coppertone lotion $3/1,San Carlos
4189,11/9/2015,Dunkin Donuts $1/2 creamers,
4455,9/9/2015,Farm Rich Bakery item 9.5 oz,San Jose
2928,11/2/2015,Coppertone lotion $3/1,Mountain View
4817,18-03-2015,Blue Diamond $1/1 4oz+ almonds can or bag,Oceanside
4257,28-06-2015,Barabsol $.50/1 10oz shaving cream,San Jose
4254,20-07-2015,Axe Hair Care Product,Salinas
4071,19-09-2015,Barilla $1/2 Sauce,Vacaville
2109,28-10-2015,Best Foods $1/1 mayonnaise squeeze,Oakland
1412,5/7/2015,Best Foods $1/1 mayonnaise squeeze,San Jose
4088,23-09-2015,Dinty Moore $1/2ÿ,San Leandro
4056,20-10-2015,Megared $1/1 product,Hollister
4441,5/5/2015,Dinty Moore $1/2ÿ,San Francisco
4363,1/7/2015,Dove Clinical Protection Deodorant Product,Santa Clara
2107,27-11-2015,Dunkin Donuts $1/2 creamers,
2941,23-02-2015,Farm Rich Bakery item 9.5 oz,San Francisco
1497,26-07-2015,Fiber One $.50/2 chewy bars,San Mateo
2211,1/1/2015,Indiana Kitchen Baconÿ,Sunnyvale
3510,2/1/2015,Irish Spring $1.00/1 bar soap multipack 6ct or largerÿ,
4074,27-05-2015,L'Oreal $2/1 skincare product ets,Santa Clara
3190,21-11-2015,Megared $1/1 product,San Jose
2297,1/3/2015,"Maybelline New York $2/1 brow, shadow or liner productÿ",Los Gatos
3311,1/7/2015,Mitchum antiperspirant/deodorant prod,
3085,21-01-2015,L'Oreal $2/1 skincare product ets,Santa Clara
3693,16-11-2015,Farm Rich Bakery item 9.5 oz,
4859,7/7/2015,Irish Spring $1.00/1 bar soap multipack 6ct or largerÿ,Palo Alto
2125,25-06-2015,Coppertone lotion $3/1,Sunnyvale
2261,4/4/2015,Dunkin Donuts $1/2 creamers,Oakland
3679,27-11-2015,Farm Rich Bakery item 9.5 oz,Calistoga
4165,18-08-2015,Coppertone lotion $3/1,San Francisco
3538,1/3/2015,Blue Diamond $1/1 4oz+ almonds can or bag,
3913,19-02-2015,Barabsol $.50/1 10oz shaving cream,Pleasanton
2336,14-04-2015,Axe Hair Care Product,Redwood City
3549,1/8/2015,Barilla $1/2 Sauce,San Jose
4434,21-09-2015,Best Foods $1/1 mayonnaise squeeze,Milpitas
2854,8/2/2015,Best Foods $1/1 mayonnaise squeeze,Santa Clara
3413,8/2/2015,Dinty Moore $1/2ÿ,Sunnyvale
1780,13-10-2015,Megared $1/1 product,
2899,6/9/2015,Aveeno $1/1 produc,
2106,13-08-2015,Axe Body Spray Product,
3929,30-07-2015,Axe Hair Care Product,Saratoga
3857,1/10/2015,Ban $1/1 roll-on antiperspirant deodorantÿ,
4459,18-12-2015,Barabsol $.50/1 10oz shaving cream,San Carlos
4551,28-07-2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor,
4042,17-12-2015,Barilla $1/2 Sauce,Redwood City
2599,6/5/2015,Bausch+Lomb $1/1,San Francisco
1045,25-11-2015,Beefsteak 18 oz. breadÿ,Sunnyvale
4677,24-01-2015,Best Foods $1/1 mayonnaise squeeze,San Pablo
1580,14-06-2015,Axe Hair Care Product,
3269,7/10/2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor,Pebble Beach
4368,29-01-2015,Blue Diamond $1/1 4oz+ almonds can or bag,
1111,20-11-2015,Bounty/Charmin $.50/1ÿ,San Jose
4841,13-09-2015,Coppertone lotion $3/1,San Jose
3047,7/9/2015,Blue Diamond $1/1 4oz+ almonds can or bag,Santa Clara
4349,14-03-2015,Barabsol $.50/1 10oz shaving cream,San Jose
3580,24-11-2015,Axe Hair Care Product,
2370,18-07-2015,Barabsol $.50/1 10oz shaving cream,Campbell
3094,28-06-2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor,Lotus
1146,12/9/2015,Barilla $1/2 Sauce,Santa Clara
2287,16-12-2015,Bausch+Lomb $1/1,San Leandro
3911,23-08-2015,Beefsteak 18 oz. breadÿ,Tracy
4891,19-04-2015,Best Foods $1/1 mayonnaise squeeze,Milpitas
4837,2/12/2015,Axe Hair Care Product,Woodland
4464,21-10-2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor,Pleasanton
2940,18-10-2015,Blue Diamond $1/1 4oz+ almonds can or bag,
4972,6/2/2015,Bounty/Charmin $.50/1ÿ,San Jose
4890,3/7/2015,Coppertone lotion $3/1,San Jose
4295,17-07-2015,Blue Diamond $1/1 4oz+ almonds can or bag,San Jose
2729,24-09-2015,Barabsol $.50/1 10oz shaving cream,
1125,19-11-2015,Axe Hair Care Product,San Mateo
1850,11/1/2015,Barilla $1/2 Sauce,Pleasanton
2928,22-09-2015,Best Foods $1/1 mayonnaise squeeze,San Jose
3717,30-05-2015,Best Foods $1/1 mayonnaise squeeze,San Jose
3809,24-03-2015,Dinty Moore $1/2ÿ,San Jose
3437,2/2/2015,Megared $1/1 product,Palo Alto
1481,17-01-2015,Aveeno $1/1 produc,Santa Clara
1050,4/5/2015,Axe Body Spray Product,Mountain View
2918,16-03-2015,Axe Hair Care Product,Las Vegas
4499,8/8/2015,Coppertone lotion $3/1,San Francisco
4117,6/1/2015,Dunkin Donuts $1/2 creamers,Klamath Falls
1630,22-05-2015,Farm Rich Bakery item 9.5 oz,
3715,11/5/2015,Coppertone lotion $3/1,Morgan Hill
3512,17-11-2015,Blue Diamond $1/1 4oz+ almonds can or bag,San Jose
1197,27-04-2015,Farm Rich Bakery item 9.5 oz,
3958,4/3/2015,Coppertone lotion $3/1,
4890,14-09-2015,Blue Diamond $1/1 4oz+ almonds can or bag,Woodland
3112,19-05-2015,Barabsol $.50/1 10oz shaving cream,
4502,22-11-2015,Axe Hair Care Product,
4719,1/6/2015,Barilla $1/2 Sauce,Palo Alto
1516,28-01-2015,Best Foods $1/1 mayonnaise squeeze,San Jose
4281,18-10-2015,Best Foods $1/1 mayonnaise squeeze,San Carlos
1566,30-04-2015,Dinty Moore $1/2ÿ,Milpitas
4641,29-11-2015,Megared $1/1 product,Campbell
2561,26-02-2015,Dinty Moore $1/2ÿ,
2344,17-12-2015,Dove Clinical Protection Deodorant Product,San Jose
2643,21-04-2015,Dunkin Donuts $1/2 creamers,San Pablo
3236,9/4/2015,Farm Rich Bakery item 9.5 oz,San Jose
4863,30-12-2015,Fiber One $.50/2 chewy bars,Los Gatos
2264,12/1/2015,Indiana Kitchen Baconÿ,
3168,20-03-2015,Irish Spring $1.00/1 bar soap multipack 6ct or largerÿ,San Jose
1282,18-11-2015,L'Oreal $2/1 skincare product ets,San Carlos
2832,2/11/2015,Megared $1/1 product,
3067,27-11-2015,"Maybelline New York $2/1 brow, shadow or liner productÿ",San Jose
1847,17-04-2015,Mitchum antiperspirant/deodorant prod,San Jose
3525,14-02-2015,L'Oreal $2/1 skincare product ets,Mountain View
1231,14-10-2015,Farm Rich Bakery item 9.5 oz,San Jose
3471,28-03-2015,Irish Spring $1.00/1 bar soap multipack 6ct or largerÿ,
2421,22-11-2015,Coppertone lotion $3/1,San Jose
4092,14-06-2015,Dunkin Donuts $1/2 creamers,San Francisco
1577,16-03-2015,Farm Rich Bakery item 9.5 oz,San Jose
3463,13-06-2015,Coppertone lotion $3/1,Santa Clara
3518,1/8/2015,Dunkin Donuts $1/2 creamers,San Francisco
4325,14-10-2015,Farm Rich Bakery item 9.5 oz,Hollister
4947,18-11-2015,Coppertone lotion $3/1,Pleasanton
2194,11/1/2015,Blue Diamond $1/1 4oz+ almonds can or bag,San Jose
2868,20-03-2015,Barabsol $.50/1 10oz shaving cream,Livermore
3211,30-09-2015,Axe Hair Care Product,
4537,1/1/2015,Barilla $1/2 Sauce,Pleasanton
2243,15-09-2015,Best Foods $1/1 mayonnaise squeeze,San Francisco
2399,21-01-2015,Best Foods $1/1 mayonnaise squeeze,San Jose
4133,22-01-2015,Dinty Moore $1/2ÿ,Pleasanton
2937,17-06-2015,Megared $1/1 product,Pleasanton
2485,17-02-2015,Aveeno $1/1 produc,Pleasanton
4683,15-01-2015,Axe Body Spray Product,Palo Alto
4358,6/11/2015,Axe Hair Care Product,Pleasanton
1931,9/10/2015,Best Foods $1/1 mayonnaise squeeze,San Jose
2490,18-12-2015,Best Foods $1/1 mayonnaise squeeze,Fremont
4842,8/12/2015,Dinty Moore $1/2ÿ,Pacific Grove
4616,1/1/2015,Megared $1/1 product,Sausalito
2810,22-09-2015,Dinty Moore $1/2ÿ,
2785,18-10-2015,Dove Clinical Protection Deodorant Product,Klamath Falls
3591,20-07-2015,Dunkin Donuts $1/2 creamers,ANTIOCH
3896,10/9/2015,Bausch+Lomb $1/1,Santa Clara
3842,1/7/2015,Beefsteak 18 oz. breadÿ,San Francisco
2648,10/7/2015,Best Foods $1/1 mayonnaise squeeze,Palo Alto
4688,2/10/2015,Axe Hair Care Product,
3511,26-08-2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor,San Jose
3084,4/9/2015,Blue Diamond $1/1 4oz+ almonds can or bag,Saratoga
3810,7/5/2015,Bounty/Charmin $.50/1ÿ,San Jose
4348,26-02-2015,Coppertone lotion $3/1,Livermore
3584,10/3/2015,Blue Diamond $1/1 4oz+ almonds can or bag,San Rafael
2620,11/6/2015,Barabsol $.50/1 10oz shaving cream,Mountain View
2716,18-01-2015,Axe Hair Care Product,San Mateo
3797,10/8/2015,Barilla $1/2 Sauce,El Cerrito
2976,2/6/2015,Best Foods $1/1 mayonnaise squeeze,Newark
2762,7/11/2015,Irish Spring $1.00/1 bar soap multipack 6ct or largerÿ,San Pablo
3752,25-04-2015,Coppertone lotion $3/1,Concord
